service_address,date_,read_type,billing_period,energy_used,total_charges,comment,discount
Constant Spring Grove,30-05-17,Actual,31,96.00`,"2,732.93",,
Constant Spring Grove,29-06-17,Actual,30,101.00`,"2,928.47",,
Constant Spring Grove,29-07-17,Actual,30,106.00`,"3,090.07",,
Constant Spring Grove,30-08-17,Actual,32,132.00`,"4,030.57",,
Constant Spring Grove,30-09-17,Actual,30,106.00`,"3,257.59",,
Constant Spring Grove,29-11-17,Actual,31,97.00`,"2,927.97",,
Constant Spring Grove,29-12-17,Actual,30,93.00`,"2,933.62",,
Constant Spring Grove,28-01-18,Actual,30,85.00`,"2,697.90",,
Constant Spring Grove,27-02-18,Actual,30,89.00`,"2,784.30",,
Constant Spring Grove,30-03-18,Actual,30,92.00`,"3,124.15",,
Constant Spring Grove,30-04-18,Actual,30,110.000`,"3,361.24",,
Merrivale,08-05-18,Actual,7,10.00`,"2,211.14",moving,
Constant Spring Grove,11-05-18,Actual,12,27.000`,0,moving,
Merrivale,08-06-18,Actual,32,91.00`,"2,843.25",,
Merrivale,09-07-18,Actual,30,120.00`,"4,281.53",,
Merrivale,09-08-18,Actual,33,148.00`,"5,453.56",,
Merrivale,10-09-18,Actual,30,135.00`,"5,405.66",,
Merrivale,08-10-18,Estimated,29,130.00`,"4,963.79",,
Merrivale,08-11-18,Actual,31,115.00`,"4,121.16",,
Merrivale,08-12-18,Actual,30,132.00`,"4,755.11",,
Merrivale,08-01-19,Actual,30,109.000`,"3,736.70",,
Merrivale,07-02-19,Actual,32,131.000`,"4,376.53",,
Merrivale,09-04-19,Actual,30,127.000`,"4,233.78",,
Merrivale,08-05-19,Actual,31,130.210`,"4,809.81",,
Merrivale,09-06-19,Actual,30,127.480`,"4,545.44",,
Merrivale,09-07-19,Actual,34,145.630`,"5,082.74",,
Merrivale,09-08-19,Actual,29,47.340`,"1,681.32",,
Merrivale,10-09-19,Actual,30,141.230`,"5,164.03",,
Merrivale,08-10-19,Actual,32,126.420`,"4,593.55",,
Merrivale,08-11-19,Actual,28,127.150`,"4,436.65",,
Merrivale,08-12-19,Actual,31,127.300`,"4,585.71",,
Merrivale,08-01-20,Actual,30,109.310`,"3,253.25",,
Merrivale,07-02-20,Actual,32,131.530`,"5,138.65",,
Merrivale,06-03-20,Actual,28,120.130`,"4,346.65",,
Merrivale,14-04-20,Actual,31,164.160`,"6,394.53",,
Merrivale,08-05-20,Actual,30,169.020`,"7,215.96",,
Merrivale,06-06-20,Actual,31,164.200`,"6,826.30",,
Merrivale,08-07-20,Actual,30,180.980`,"7,559.93",,
Merrivale,10-08-20,Actual,31,185.170`,"7,925.48",,
Merrivale,08-09-20,Actual,31,172.550`,"7,394.25",,
Merrivale,08-10-20,Actual,31,190.650`,"8,619.21",,
Merrivale,06-11-20,Actual,30,185.490`,"8,775.46",,
