service_address,date_,read_type,billing_period,energy_used,total_charges,comment,discount,month,year
Constant Spring Grove,2017-05-30,Actual,31,96.0,2732.93,,,5,2017
Constant Spring Grove,2017-06-29,Actual,30,101.0,2928.47,,,6,2017
Constant Spring Grove,2017-07-29,Actual,30,106.0,3090.07,,,7,2017
Constant Spring Grove,2017-08-30,Actual,32,132.0,4030.57,,,8,2017
Constant Spring Grove,2017-09-30,Actual,30,106.0,3257.59,,,9,2017
Constant Spring Grove,2017-11-29,Actual,31,97.0,2927.97,,,11,2017
Constant Spring Grove,2017-12-29,Actual,30,93.0,2933.62,,,12,2017
Constant Spring Grove,2018-01-28,Actual,30,85.0,2697.9,,,1,2018
Constant Spring Grove,2018-02-27,Actual,30,89.0,2784.3,,,2,2018
Constant Spring Grove,2018-03-30,Actual,30,92.0,3124.15,,,3,2018
Constant Spring Grove,2018-04-30,Actual,30,110.0,3361.24,,,4,2018
Merrivale,2018-05-08,Actual,7,10.0,2211.14,moving,,5,2018
Constant Spring Grove,2018-05-11,Actual,12,27.0,0.0,moving,,5,2018
Merrivale,2018-06-08,Actual,32,91.0,2843.25,,,6,2018
Merrivale,2018-07-09,Actual,30,120.0,4281.53,,,7,2018
Merrivale,2018-08-09,Actual,33,148.0,5453.56,,,8,2018
Merrivale,2018-09-10,Actual,30,135.0,5405.66,,,9,2018
Merrivale,2018-10-08,Estimated,29,130.0,4963.79,,,10,2018
Merrivale,2018-11-08,Actual,31,115.0,4121.16,,,11,2018
Merrivale,2018-12-08,Actual,30,132.0,4755.11,,,12,2018
Merrivale,2019-01-08,Actual,30,109.0,3736.7,,,1,2019
Merrivale,2019-02-07,Actual,32,131.0,4376.53,,,2,2019
Merrivale,2019-04-09,Actual,30,127.0,4233.78,,,4,2019
Merrivale,2019-05-08,Actual,31,130.21,4809.81,,,5,2019
Merrivale,2019-06-09,Actual,30,127.48,4545.44,,,6,2019
Merrivale,2019-07-09,Actual,34,145.63,5082.74,,,7,2019
Merrivale,2019-08-09,Actual,29,47.34,1681.32,,,8,2019
